Kode,Sektor,Nama Perusahaan,Papan Pencatatan
AADI,Energy,Adaro Andalan Indonesia Tbk.,Utama
AALI,Consumer Non-Cyclicals,Astra Agro Lestari Tbk.,Utama
ABBA,Consumer Cyclicals,Mahaka Media Tbk.,Pemantauan Khusus
ABDA,Financials,Asuransi Bina Dana Arta Tbk.,Pengembangan
ABMM,Energy,ABM Investama Tbk.,Utama
ACES,Consumer Cyclicals,Aspirasi Hidup Indonesia Tbk.,Utama
ACRO,Consumer Cyclicals,Samcro Hyosung Adilestari Tbk.,Pengembangan
ACST,Infrastructures,Acset Indonusa Tbk.,Pemantauan Khusus
ADCP,Properties & Real Estate,Adhi Commuter Properti Tbk.,Pengembangan
ADES,Consumer Non-Cyclicals,Akasha Wira International Tbk.,Pemantauan Khusus
ADHI,Infrastructures,Adhi Karya (Persero) Tbk.,Utama
ADMF,Financials,Adira Dinamika Multi Finance T,Pengembangan
ADMG,Basic Materials,Polychem Indonesia Tbk,Pengembangan
ADMR,Energy,Alamtri Minerals Indonesia Tbk,Utama
ADRO,Energy,Alamtri Resources Indonesia Tb,Utama
AEGS,Consumer Cyclicals,Anugerah Spareparts Sejahtera,Akselerasi
AGAR,Consumer Non-Cyclicals,Asia Sejahtera Mina Tbk.,Pengembangan
AGII,Basic Materials,Samator Indo Gas Tbk.,Pengembangan
AGRO,Financials,Bank Raya Indonesia Tbk.,Utama
AGRS,Financials,Bank IBK Indonesia Tbk.,Pengembangan
AHAP,Financials,Asuransi Harta Aman Pratama Tb,Pengembangan
AIMS,Energy,Artha Mahiya Investama Tbk.,Pengembangan
AISA,Consumer Non-Cyclicals,FKS Food Sejahtera Tbk.,Utama
AKKU,Consumer Cyclicals,Anugerah Kagum Karya Utama Tbk,Pemantauan Khusus
AKPI,Basic Materials,Argha Karya Prima Industry Tbk,Pengembangan
AKRA,Energy,AKR Corporindo Tbk.,Utama
AKSI,Transportation & Logistic,Mineral Sumberdaya Mandiri Tbk,Pengembangan
ALDO,Basic Materials,Alkindo Naratama Tbk.,Utama
ALII,Energy,Ancara Logistics Indonesia Tbk,Utama
ALKA,Basic Materials,Alakasa Industrindo Tbk,Pengembangan
ALMI,Basic Materials,Alumindo Light Metal Industry,Pemantauan Khusus
ALTO,Consumer Non-Cyclicals,Tri Banyan Tirta Tbk.,Pemantauan Khusus
AMAG,Financials,Asuransi Multi Artha Guna Tbk.,Utama
AMAN,Properties & Real Estate,Makmur Berkah Amanda Tbk.,Pengembangan
