Date,Open,High,Low,Close,Volume
2025-09-25,8130.0220,8146.0898,8022.9790,8040.6650,483927800
2025-09-26,8051.7622,8099.3330,8034.9980,8099.3330,351966900
2025-09-29,8139.5791,8157.3301,8100.0171,8123.2451,439450000
2025-09-30,8137.6348,8150.3418,8042.8232,8061.0620,461651600
2025-10-01,8069.9370,8093.6938,8034.2500,8043.8218,536747800
2025-10-02,8070.4248,8109.4360,8059.0488,8071.0811,402266500
2025-10-03,8099.6450,8118.3008,8076.5972,8118.3008,428024700
2025-10-06,8155.3652,8176.3081,8104.5518,8139.8940,429540400
2025-10-07,8182.6558,8217.0459,8153.7129,8169.2808,426851900
2025-10-08,8201.1406,8224.6445,8044.9331,8166.0288,355267800
2025-10-09,8187.7002,8272.6318,8159.9448,8250.9385,347199100
2025-10-10,8259.0752,8270.3320,8194.0469,8257.8594,366345900
2025-10-13,8169.6489,8288.2793,8133.6270,8227.2021,366939200
2025-10-14,8269.4805,8284.9102,7974.0298,8066.5220,440487100
2025-10-15,8107.2988,8132.5220,7936.3711,8051.1748,329138800
2025-10-16,8064.6792,8148.0449,8030.7769,8124.7568,246641300
2025-10-17,8132.7471,8140.5972,7854.3071,7915.6558,353739000
2025-10-20,7988.4482,8117.2690,7937.3848,8088.9780,307599100
2025-10-21,8165.6919,8238.0840,8161.1938,8238.0840,281761500
2025-10-22,8235.6992,8261.8438,8141.9858,8152.5532,275367500
2025-10-23,8179.8838,8292.8877,8179.6128,8274.3516,281648700
2025-10-24,8294.8916,8351.0586,8271.7217,8271.7217,238196400
2025-10-27,8322.2168,8354.6729,7959.1689,8117.1509,359000200
2025-10-28,8144.4248,8151.3350,8039.8511,8092.6289,282866700
2025-10-29,8107.3760,8169.1392,8042.6299,8166.2241,248336300
2025-10-30,8176.3608,8231.8828,8145.6040,8184.0640,326703000
2025-10-31,8202.5234,8215.5459,8144.0771,8163.8750,245393300
2025-11-03,8208.0303,8282.1602,8201.3643,8275.0840,338112200
2025-11-04,8275.9531,8317.0762,8225.9111,8241.9111,254611100
2025-11-05,8213.6006,8318.5264,8181.9038,8318.5264,333837700
2025-11-06,8354.6797,8362.9160,8289.8906,8337.0576,229181000
2025-11-07,8346.5771,8398.7646,8332.6006,8394.5898,227520700
2025-11-10,8443.3203,8478.1484,8391.2402,8391.2402,415934000
2025-11-11,8437.9590,8443.6865,8338.3965,8366.5146,677885600
2025-11-12,8392.2803,8428.9482,8377.4971,8388.5664,491096300
2025-11-13,8412.8262,8418.1631,8354.8359,8371.9990,534184900
2025-11-14,8378.1289,8417.1348,8360.9365,8370.4355,422843300
2025-11-17,8397.8359,8452.3291,8391.9951,8416.8818,382110500
2025-11-18,8427.3984,8442.8652,8341.9033,8361.9258,374837900
2025-11-19,8384.3623,8426.6328,8375.5752,8406.5771,394548300
2025-11-20,8449.5420,8491.4277,8419.9170,8419.9170,319147400
2025-11-21,8403.9014,8432.6025,8361.2715,8414.3516,288992600
2025-11-24,8458.2930,8570.2539,8429.4639,8570.2539,471629100
2025-11-25,8570.8457,8574.3848,8487.2207,8521.8848,414092000
2025-11-26,8533.8857,8602.1299,8503.1465,8602.1299,498634000
2025-11-27,8611.3281,8622.2676,8521.4961,8545.8652,463624300
2025-11-28,8555.6562,8572.3594,8495.2051,8508.7061,386357400
2025-12-01,8541.5391,8553.6162,8493.2451,8548.7881,433587600
2025-12-02,8577.6064,8625.6357,8564.6953,8617.0430,405114200
2025-12-03,8655.0176,8669.1865,8591.8066,8611.7871,432093300
2025-12-04,8646.6465,8650.2969,8606.9033,8640.1963,447262700
2025-12-05,8658.8896,8689.0986,8617.0381,8632.7607,421538600
2025-12-08,8676.7266,8720.0908,8642.0615,8710.6953,525913600
2025-12-09,8743.2090,8749.2627,8626.8457,8657.1787,498676700
2025-12-10,8713.7109,8720.8809,8668.6064,8700.9238,623753400
2025-12-11,8764.0908,8776.9697,8560.1055,8620.4814,667238000
2025-12-12,8651.7656,8680.0410,8585.4219,8660.4990,457344900
2025-12-15,8705.2393,8720.6826,8622.9854,8649.6621,553538600
2025-12-16,8696.6963,8700.8613,8611.3467,8686.4688,431043000
2025-12-17,8708.3271,8729.4658,8660.7480,8677.3447,341969700
2025-12-18,8705.1377,8730.7090,8618.1953,8618.1953,328562900
2025-12-19,8657.2422,8671.7676,8562.8877,8609.5508,307160800
2025-12-22,8629.2461,8648.7949,8609.3887,8645.8438,374939200
2025-12-23,8656.6533,8667.7334,8566.9951,8584.7822,329812800
2025-12-24,8597.3877,8611.3330,8525.1006,8537.9111,280698800
2025-12-29,8545.7217,8652.1826,8545.7217,8644.2559,334277800
2025-12-30,8627.4004,8663.6680,8584.8652,8646.9385,308173000
2026-01-02,8676.7412,8748.1318,8664.9746,8748.1318,471863900
2026-01-05,8778.7324,8859.1914,8732.3193,8859.1914,665735100
2026-01-06,8890.7207,8940.1094,8839.0117,8933.6094,630432800
2026-01-07,8959.0908,8970.8691,8916.0293,8944.8135,655409500
2026-01-08,8946.7002,9002.9199,8918.4053,8925.4707,489316100
2026-01-09,8969.1514,8981.0215,8908.1729,8936.7539,499545200
2026-01-12,8991.7598,9000.9668,8715.4111,8884.7227,697907000
2026-01-13,8931.2422,8956.7266,8841.0176,8948.3027,538438100
2026-01-14,9007.0527,9049.2979,8979.6016,9032.5840,580700100
2026-01-15,9072.2959,9100.8252,9040.9980,9075.4062,446899000
2026-01-19,9098.7021,9133.8730,9025.9980,9133.8730,541550600
2026-01-20,9156.1895,9174.4736,9120.1543,9134.7002,606446200
2026-01-21,9094.4307,9105.2314,8977.6807,9010.3301,553244200
2026-01-22,9052.1680,9109.7100,8992.1338,8992.1826,661020800
2026-01-23,9031.4941,9039.6660,8837.8281,8951.0098,587299800
2026-01-26,8967.7275,9058.0459,8923.5273,8975.3340,491763600
2026-01-27,8974.5654,8980.2305,8873.4766,8980.2305,536008400
2026-01-28,8393.5137,8596.1719,8187.7349,8320.5557,557055000
2026-01-29,8027.8281,8296.9414,7481.9878,8232.2031,906233100
2026-01-30,8308.7246,8408.2998,8167.1558,8329.6064,478640200
2026-02-02,8306.1631,8313.0576,7820.2251,7922.7310,444961400
2026-02-03,7888.7710,8122.5972,7712.3481,8122.5972,545340400
2026-02-04,8121.0332,8194.6836,8050.3960,8146.7168,404556000
2026-02-05,8154.6040,8214.4609,8102.7861,8103.8789,323626200
2026-02-06,7945.0400,8025.1401,7861.6851,7935.2598,312234100
2026-02-09,7970.0220,8031.8740,7863.0059,8031.8740,310222600
2026-02-10,8031.5820,8140.8618,8011.1299,8131.7378,374472200
2026-02-11,8152.7852,8290.9658,8118.1631,8290.9658,545693700
2026-02-12,8317.2402,8334.0225,8220.1504,8265.3516,379401500
2026-02-13,8240.0059,8251.9893,8170.5869,8212.2715,434442400
2026-02-18,8235.8086,8310.2266,8227.4521,8310.2266,459026600
2026-02-19,8357.4453,8376.1992,8251.8115,8274.0811,435377400
2026-02-20,8300.2217,8328.4209,8236.7529,8271.7666,400251500
2026-02-23,8334.5430,8397.0654,8327.5693,8396.0820,443116900
2026-02-24,8428.0498,8437.0889,8259.4775,8280.8330,509728100
2026-02-25,8318.1445,8373.4834,8259.7471,8322.2285,441816300
2026-02-26,8351.3623,8358.9570,8139.8242,8235.2617,450264700
2026-02-27,8211.3047,8246.9541,8093.7490,8235.4854,441200100
2026-03-02,8092.9048,8133.6919,8016.8330,8016.8330,527702300
2026-03-03,8059.8682,8098.3921,7932.5200,7939.7671,396162400
2026-03-04,7896.3770,7897.8120,7486.3208,7577.0640,485472100
2026-03-05,7695.3472,7765.6128,7678.5332,7710.5371,303915000
2026-03-06,7699.4731,7700.3179,7500.0850,7585.6870,291110400
2026-03-09,7374.3110,7403.7329,7156.6831,7337.3691,406185700
2026-03-10,7443.0459,7499.8242,7372.8232,7440.9131,309617900
2026-03-11,7484.7739,7527.3188,7380.8081,7389.3989,253162500
2026-03-12,7398.8530,7436.4971,7323.7422,7362.1172,234355700
2026-03-13,7338.8242,7350.2798,7132.2109,7137.2119,256288700
2026-03-16,7115.4512,7120.1851,6917.3218,7022.2881,264167600
2026-03-17,7074.6108,7148.2510,7059.8901,7106.8389,226881800
2026-03-25,7084.6221,7302.1211,7057.2231,7302.1211,346637800
2026-03-26,7313.6650,7323.7021,7152.5918,7164.0908,257658000
2026-03-27,7136.3662,7154.5581,7070.2119,7097.0571,171896900
